ask	a0	a1	a2	a3	a4	a5	a6	a7	a8	a9	bid	b0	b1	b2	b3	b4	b5	b6	b7	b8	b9
58771.30296	58881.3046	58881.20293	58887.04156	58883.1859	58890.49994	58886.77888	58866.34674	58850.18	58845.1	58824.69	58594.91	58715.15	58716.16	58723.54	58715.58	58717.25	58715.25	58697.25	58682.31223	58679.00044	58656.80667	
58781.06956	58881.20293	58887.04156	58883.1859	58890.49994	58886.77888	58866.34674	58850.18	58845.1	58824.69	58825.63	58609.72	58716.16	58723.54	58715.58	58717.25	58715.25	58697.25	58682.31223	58679.00044	58656.80667	58654.3463	
58808.40215	58887.04156	58883.1859	58890.49994	58886.77888	58866.34674	58850.18	58845.1	58824.69	58825.63	58807.7311	58640.09	58723.54	58715.58	58717.25	58715.25	58697.25	58682.31223	58679.00044	58656.80667	58654.3463	58633.66	
58850.86	58883.1859	58890.49994	58886.77888	58866.34674	58850.18	58845.1	58824.69	58825.63	58807.7311	58806.14571	58684.52	58715.58	58717.25	58715.25	58697.25	58682.31223	58679.00044	58656.80667	58654.3463	58633.66	58631.01	
58859.41	58890.49994	58886.77888	58866.34674	58850.18	58845.1	58824.69	58825.63	58807.7311	58806.14571	58818.73565	58691.29	58717.25	58715.25	58697.25	58682.31223	58679.00044	58656.80667	58654.3463	58633.66	58631.01	58652.42	
58954.77	58886.77888	58866.34674	58850.18	58845.1	58824.69	58825.63	58807.7311	58806.14571	58818.73565	58812.6	58769.7	58715.25	58697.25	58682.31223	58679.00044	58656.80667	58654.3463	58633.66	58631.01	58652.42	58643.06	
58918.28	58866.34674	58850.18	58845.1	58824.69	58825.63	58807.7311	58806.14571	58818.73565	58812.6	58802.01971	58756.49743	58697.25	58682.31223	58679.00044	58656.80667	58654.3463	58633.66	58631.01	58652.42	58643.06	58630.45	
58900.4	58850.18	58845.1	58824.69	58825.63	58807.7311	58806.14571	58818.73565	58812.6	58802.01971	58797.58005	58738.51176	58682.31223	58679.00044	58656.80667	58654.3463	58633.66	58631.01	58652.42	58643.06	58630.45	58627.13	
58877.98	58845.1	58824.69	58825.63	58807.7311	58806.14571	58818.73565	58812.6	58802.01971	58797.58005	58795.31	58713.49998	58679.00044	58656.80667	58654.3463	58633.66	58631.01	58652.42	58643.06	58630.45	58627.13	58621.1	
58890.89	58824.69	58825.63	58807.7311	58806.14571	58818.73565	58812.6	58802.01971	58797.58005	58795.31	58791.2041	58725.02213	58656.80667	58654.3463	58633.66	58631.01	58652.42	58643.06	58630.45	58627.13	58621.1	58616.89	
58903.85	58825.63	58807.7311	58806.14571	58818.73565	58812.6	58802.01971	58797.58005	58795.31	58791.2041	58771.73599	58738.33487	58654.3463	58633.66	58631.01	58652.42	58643.06	58630.45	58627.13	58621.1	58616.89	58592.19699	
58864.0	58807.7311	58806.14571	58818.73565	58812.6	58802.01971	58797.58005	58795.31	58791.2041	58771.73599	58748.1751	58709.25	58633.66	58631.01	58652.42	58643.06	58630.45	58627.13	58621.1	58616.89	58592.19699	58573.58	
58895.33	58806.14571	58818.73565	58812.6	58802.01971	58797.58005	58795.31	58791.2041	58771.73599	58748.1751	58756.09	58728.98	58631.01	58652.42	58643.06	58630.45	58627.13	58621.1	58616.89	58592.19699	58573.58	58579.23	
58891.28039	58818.73565	58812.6	58802.01971	58797.58005	58795.31	58791.2041	58771.73599	58748.1751	58756.09	58732.88	58736.99	58652.42	58643.06	58630.45	58627.13	58621.1	58616.89	58592.19699	58573.58	58579.23	58556.12	
