ask,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,bid,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,ask_pade,bid_pade
48961.51,48965.54279,48968.84,48967.16288,48973.54357,48973.54357,48972.72953,48973.79974,48973.79974,48977.7,48973.81757,48667.74448,48674.38,48675.05,48676.46,48683.66,48682.5,48684.37,48682.78,48681.79,48682.91,48680.2,-99.45678181874446,174.2378556692013,
48965.21,48968.84,48967.16288,48973.54357,48973.54357,48972.72953,48973.79974,48973.79974,48977.7,48973.81757,48975.89,48665.62409,48675.05,48676.46,48683.66,48682.5,48684.37,48682.78,48681.79,48682.91,48680.2,48679.72,338.50053838286476,172.13467890796304,
48964.2,48967.16288,48973.54357,48973.54357,48972.72953,48973.79974,48973.79974,48977.7,48973.81757,48975.89,48975.89,48665.62409,48676.46,48683.66,48682.5,48684.37,48682.78,48681.79,48682.91,48680.2,48679.72,48679.72,-90.29560274694639,3.2859523631084055,
48964.59117,48973.54357,48973.54357,48972.72953,48973.79974,48973.79974,48977.7,48973.81757,48975.89,48975.89,48976.39,48667.26,48683.66,48682.5,48684.37,48682.78,48681.79,48682.91,48680.2,48679.72,48679.72,48678.23,269.0629407113457,602.5719728620422,
48967.41,48973.54357,48972.72953,48973.79974,48973.79974,48977.7,48973.81757,48975.89,48975.89,48976.39,48976.38,48667.26,48682.5,48684.37,48682.78,48681.79,48682.91,48680.2,48679.72,48679.72,48678.23,48677.25,534.9952289098825,33.128154753848754,
48964.59117,48972.72953,48973.79974,48973.79974,48977.7,48973.81757,48975.89,48975.89,48976.39,48976.38,48976.38,48667.26,48684.37,48682.78,48681.79,48682.91,48680.2,48679.72,48679.72,48678.23,48677.25,48676.54,455.41902682369783,213.4743018754357,
48964.598,48973.79974,48973.79974,48977.7,48973.81757,48975.89,48975.89,48976.39,48976.38,48976.38,48975.71819,48667.5,48682.78,48681.79,48682.91,48680.2,48679.72,48679.72,48678.23,48677.25,48676.54,48675.24566,208.1437302234919,347.42472183994875,
48971.53464,48973.79974,48977.7,48973.81757,48975.89,48975.89,48976.39,48976.38,48976.38,48975.71819,48975.71819,48673.66,48681.79,48682.91,48680.2,48679.72,48679.72,48678.23,48677.25,48676.54,48675.24566,48675.24566,348.0181784162281,216.57104108866588,
48971.53464,48977.7,48973.81757,48975.89,48975.89,48976.39,48976.38,48976.38,48975.71819,48975.71819,48975.61551,48679.45,48682.91,48680.2,48679.72,48679.72,48678.23,48677.25,48676.54,48675.24566,48675.24566,48675.31824,367.60400531031775,206.08369273674458,
48979.59658,48973.81757,48975.89,48975.89,48976.39,48976.38,48976.38,48975.71819,48975.71819,48975.61551,48975.38,48683.68,48680.2,48679.72,48679.72,48678.23,48677.25,48676.54,48675.24566,48675.24566,48675.31824,48675.31824,368.3349546724143,310.00203401286603,
48979.59658,48975.89,48975.89,48976.39,48976.38,48976.38,48975.71819,48975.71819,48975.61551,48975.38,48976.2,48682.21,48679.72,48679.72,48678.23,48677.25,48676.54,48675.24566,48675.24566,48675.31824,48675.31824,48676.31237,298.44442894241905,186.173580967713,
48981.65758,48975.89,48976.39,48976.38,48976.38,48975.71819,48975.71819,48975.61551,48975.38,48976.2,48977.01,48688.66,48679.72,48678.23,48677.25,48676.54,48675.24566,48675.24566,48675.31824,48675.31824,48676.31237,48676.31237,264.31629055263323,141.44984292887418,
